Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,142,0,3,4.352538260563256,2.232627000012144,33.21749300016563,9903.0,2.39844572291408,0.0,3,3,3,4,6,15,22,24,33,33,33
POST,/api/BasketItems,3,0,29000,29163.339286999948,28466.59418399986,29867.663139999877,159.0,0.050671388512269294,0.0,29000,29000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/Products/1,40,0,17000,18385.47647967502,10407.212127000093,30595.74693100012,257.0,0.6756185134969239,0.0,17000,20000,21000,21000,27000,30000,31000,31000,31000,31000,31000
POST,/api/Users,200,0,21000,20083.129486680013,2596.003526000004,46097.48778099993,324.0,3.3780925674846194,0.0,21000,24000,24000,24000,29000,38000,38000,43000,46000,46000,46000
GET,/rest/products/search?q=apple,63,0,16000,15518.972453714254,9462.785749999966,21031.20723100005,921.0,1.0640991587576552,0.0,16000,17000,18000,18000,20000,21000,21000,21000,21000,21000,21000
POST,/rest/user/login,228,0,14000,14348.859792912292,3830.251219000047,21779.08807600011,847.0,3.8510255269324665,0.0,15000,16000,17000,17000,19000,20000,21000,21000,22000,22000,22000
,Aggregated,676,0,15000,13445.840728084322,2.232627000012144,46097.48778099993,2563.494082840237,11.417952878098014,0.0,15000,17000,20000,20000,24000,24000,36000,38000,46000,46000,46000
