Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,73,0,3,4.000748890410699,2.36855100001776,17.668511000010767,9903.0,1.235722748551686,0.0,3,4,4,4,5,8,10,18,18,18,18
POST,/api/BasketItems,25,2,13,15.82032508001248,3.5252070000524327,83.17708799995671,148.84,0.4231927221067418,0.03385541776853934,13,13,14,14,17,23,83,83,83,83,83
GET,/api/Products/1,55,0,26,28.23100494544674,23.884206999923663,52.826004999928955,257.0,0.9310239886348319,0.0,26,27,27,29,35,50,51,53,53,53,53
POST,/api/Users,10,0,75,95.07579079999005,71.98571200001425,199.6008249999477,323.0,0.1692770888426967,0.0,86,86,87,120,200,200,200,200,200,200,200
GET,/rest/products/search?q=apple,98,0,9,11.575763112244537,7.962485000007291,64.13377299998047,921.0,1.6589154706584277,0.0,9,10,11,11,12,30,46,64,64,64,64
POST,/rest/user/login,46,0,13,21.279812521727408,11.477822999950149,69.9442039999667,843.5652173913044,0.7786746086764049,0.0,13,19,25,31,47,52,70,70,70,70,70
,Aggregated,307,2,11,17.277922270355667,2.36855100001776,199.6008249999477,2843.866449511401,5.196806627470789,0.03385541776853934,11,13,25,26,32,52,75,86,200,200,200
