Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,213,0,3,3.8163969530511306,2.5409660000832446,13.36556199998995,9903.0,3.604638761967127,0.0,3,3,4,4,6,8,11,11,13,13,13
POST,/api/BasketItems,50,2,65,67.3593667000091,4.041428000050473,183.65938800002368,153.0,0.8461593337951003,0.03384637335180401,67,83,93,100,130,140,180,180,180,180,180
GET,/api/Products/1,130,0,27,37.66871092308293,22.620630999995228,221.9751569999744,257.0,2.2000142678672607,0.0,27,32,40,45,74,86,96,170,220,220,220
POST,/api/Users,25,0,110,117.07653079999545,40.53938100003052,213.54382700008046,323.0,0.42307966689755017,0.0,110,120,150,150,160,170,210,210,210,210,210
GET,/rest/products/search?q=apple,204,0,8,16.6128153970622,7.456672999978764,116.16477600000508,921.0,3.4523300818840092,0.0,9,9,14,21,36,61,79,110,120,120,120
POST,/rest/user/login,121,0,13,25.852705826448883,10.943517999976393,92.25806700010253,844.0,2.047705587784143,0.0,13,21,31,46,67,71,76,77,92,92,92
,Aggregated,743,2,12,24.928530716018845,2.5409660000832446,221.9751569999744,3295.399730820996,12.57392770019519,0.03384637335180401,12,24,27,36,71,94,130,150,220,220,220
