Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,103,0,6,10.41063910673701,5.581063999670732,103.32619600012549,9903.0,1.7348838395927801,0.0,6,7,8,9,18,25,35,95,100,100,100
GET,/api/Products/1,8,0,20000,19949.451524500317,14660.593234000771,22603.636725999422,257.0,0.134748259385847,0.0,21000,21000,21000,21000,23000,23000,23000,23000,23000,23000,23000
POST,/api/Users,480,0,28000,29234.07818410835,6892.016299999341,51834.17126400036,325.0,8.08489556315082,0.0,28000,29000,30000,30000,41000,47000,51000,51000,52000,52000,52000
GET,/rest/products/search?q=apple,8,0,16000,17486.802741375075,14728.050798000368,22550.80675100089,921.0,0.134748259385847,0.0,18000,18000,20000,20000,23000,23000,23000,23000,23000,23000,23000
POST,/rest/user/login,319,0,17000,17842.47152099689,13360.427898000125,23172.004928000206,848.2382445141066,5.373086843010649,0.0,17000,19000,20000,21000,22000,23000,23000,23000,23000,23000,23000
,Aggregated,918,0,23000,21813.364132380175,5.581063999670732,51834.17126400036,1586.0795206971677,15.462362764525942,0.0,23000,27000,28000,29000,30000,42000,49000,51000,52000,52000,52000
