Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,747,0,4,7.221541030790464,2.0307040000488996,49.877261999995426,9903.0,12.605229989996305,0.0,4,8,10,11,15,21,26,29,50,50,50
POST,/api/BasketItems,198,21,82,220.33733993434137,3.1653730000016367,1963.9305480000075,148.2828282828283,3.3411452985532373,0.3543638953011009,85,120,180,210,560,1300,1800,1800,2000,2000,2000
GET,/api/Products/1,562,0,84,177.33728744484065,20.888130999992427,1999.6924839999792,257.0,9.483452817105654,0.0,85,120,160,200,460,780,1000,1600,2000,2000,2000
POST,/api/Users,100,0,630,809.5223633299984,259.76267600003666,2811.6248889999724,324.0,1.687447120481433,0.0,640,910,1200,1300,1700,1800,2300,2800,2800,2800,2800
GET,/rest/products/search?q=apple,700,0,55,140.14076143142827,7.194419999905222,1001.3855140000487,921.0,11.81212984337003,0.0,55,88,130,170,470,760,870,980,1000,1000,1000
POST,/rest/user/login,481,0,80,189.05484872556772,10.520932000076755,1042.296280999949,846.8981288981289,8.116620649515692,0.0,80,170,230,260,600,830,930,960,1000,1000,1000
,Aggregated,2788,21,45,150.16893528443262,2.0307040000488996,2811.6248889999724,3104.660329985653,47.04602571902235,0.3543638953011009,45,86,130,180,460,790,1000,1600,2000,2800,2800
