Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,400,0,3,5.220649237499799,2.1610129999771743,46.66116300006706,9903.0,6.764313464063784,0.0,3,4,5,7,11,15,23,29,47,47,47
POST,/api/BasketItems,94,8,15,38.86564981914073,3.2599569999547384,394.4488289999981,150.41489361702128,1.5896136640549894,0.13528626928127568,15,25,44,53,87,180,240,390,390,390,390
GET,/api/Products/1,280,0,30,44.07843141071745,20.21177999995416,246.24088699999902,257.0,4.735019424844649,0.0,30,42,48,53,91,120,150,160,250,250,250
POST,/api/Users,50,0,190,207.6866042600022,139.64076399997793,380.73664800003826,324.0,0.845539183007973,0.0,190,210,220,230,340,340,380,380,380,380,380
GET,/rest/products/search?q=apple,380,0,10,23.972533742110762,7.229280000046856,175.48139799998808,921.0,6.426097790860595,0.0,10,20,26,29,54,97,150,150,180,180,180
POST,/rest/user/login,258,0,23,44.808903802325226,10.619264000069961,181.18716900005438,847.0,4.362982184321141,0.0,23,38,69,88,120,140,150,170,180,180,180
,Aggregated,1462,8,14,33.61024746169779,2.1610129999771743,394.4488289999981,3168.266073871409,24.72356571115313,0.13528626928127568,14,25,33,44,98,150,190,220,380,390,390
